Main Category,Tags,Image Title,Image URL,Prompt Text,unique tag,unique categories
,,Elegance Studio Portrait,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Elegance%20Studio%20Portrait.webp,"Using the attached photo reference as a strict guide, the aspect ratio is 9:16. It is a medium-long studio portrait of a woman with a beautiful curvy, medium breast size, hourglass figure, standing and looking directly at the camera with a beauty expression, light pink lipstick. She wears a vibrant red, form-fitting halter-neck dress. Her long, beautiful wavy dark hair is styled over her left shoulder, and she wears delicate silver bracelets on both wrists and a ring on her left hand. Her hands rest on her curvy hips. The lighting is soft but dramatic studio illumination from the upper left, highlighting her face, the texture of her hair, and the folds of the red dress, while casting gentle shadows on her right side and under her arms. The colors are strong and saturated, with the intense red of the dress contrasting sharply against the solid, gradient dark brown studio background. The shot captures her from just below the knees up.",,
,,Tennis Net Break,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Tennis%20Net%20Break.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium shot outdoor portrait of a woman with a curvy, fit body shape, seated casually on a blue hardcourt tennis court, leaning her left arm against the net post. She is wearing a matching royal blue long-sleeved crop top and leggings set, white socks, and white and blue Nike Dunk Low sneakers. Her dark hair is styled in a high bun with braided details, and she has full makeup with defined brows and dark eyeliner. She holds a black tennis racket with a yellow ball balanced on it in her right hand. The lighting is soft, warm late afternoon sunlight from the right, casting long shadows and highlighting her face and the vibrant blue outfit. The background shows blurred green trees and a fence, with two more tennis balls on the court. The colors are rich and saturated.",,
,,Gilded Minimalism,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Gilded%20Minimalism.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a full-body fashion portrait of a slender woman with a short, dark bob haircut, standing and leaning her left shoulder against a rough concrete pillar. She is wearing a white, structured corset-style top with gold chain straps and gold buttons, a matching high-waisted white midi pencil skirt, and metallic gold pointed-toe heels. Her right leg is crossed in front of her left. The lighting is soft, diffused natural light coming from the right, creating gentle shadows on the left side of her body and the pillar, and highlighting the textures of the clothes and the concrete. The background is a minimalist, unfinished concrete space with a polished floor, and grid-like shadows from an unseen window are cast on the back wall. The colors are neutral, dominated by white, concrete grey, and gold accents. Her makeup is flawless and natural.",,
,,Desert Noire Elegance,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Desert%20Noire%20Elegance.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium shot outdoor portrait of a slender woman with long, dark hair, standing with her arms crossed and looking directly at the camera with a serious, confident expression. She is wearing a black wide-brimmed fedora hat with a beige band, a black high-neck sheer lace top with long sleeves and ruffled details, and black high-waisted trousers. Long, dangling earrings are visible. Her makeup is natural and flawless. The lighting is bright, natural daylight from the right, casting soft shadows and highlighting the textures of the black lace and the hat. The background is a blurred, sun-baked desert landscape with dry, cracked earth in the foreground and a clear, light blue sky. A gentle breeze blows strays of her hair. The colors are strong but earthy, dominated by black, warm brown, and blue.",,
,,Silver Fox Stroll,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Silver%20Fox%20Stroll.webp,"Using the attached photo facial reference as a strict guide: Create a high-fashion medium close-up portrait (waist-up) where the subject fills the frame. The woman has a healthy, curvy body type (not skinny) and a strong presence. She is wearing a voluminous, oversized grey faux fur coat that adds texture and width, layered over a fitted white top. Accessories: Black oval sunglasses, small gold hoop earrings. Pose: Standing confidently, hand in pocket, looking off-camera. Background: A blurred urban storefront wall with falling snow, but the background is secondary to the subject. Lighting: Soft, high-quality daylight. 8k resolution, commercial fashion photography, 9:16 aspect ratio.",,
,,Midnight Poise,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Midnight%20Poise.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium shot studio portrait of a woman with a curvy, medium build, seated on a beige upholstered bench and looking directly forward with a calm expression. She is wearing a dark blue, pleated halter-neck gown with long, flowing cape-like sleeves. Her dark hair is styled in an elegant updo, and she wears large, geometric silver earrings and a stack of silver bangles on her left wrist, which rests on her lap. Her makeup is flawless and natural, with defined eyes and nude lipstick. The lighting is soft, diffused studio light from the right, highlighting her face and the fabric's texture while casting gentle shadows on the left. The background is a solid, dark blue textured wall.",,
,,Stone & Silk,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Stone%20&%20Silk.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium shot portrait of a woman with a slender, hourglass body shape, standing and leaning against a large, textured stone column. Her right arm is raised, with her hand resting on her head, and her left arm is relaxed at her side. She is wearing a white, form-fitting corset-style halter dress with a draped skirt. The lighting is soft, warm, golden hour sunlight from the right, highlighting her face, hair, and the dress, and casting soft shadows on the column and background. The background is an out-of-focus stone archway corridor. Her makeup is glamorous with smoky eyes, contoured cheeks, and nude-brown lipstick. She wears small hoop earrings and a silver bracelet.",,
,,Analog Heartthrob,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Analog%20Heartthrob.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium close-up studio portrait of the woman with long, dark hair and blue eyes, holding a vintage silver Canon AE-1 camera with a brown strap in her right hand. Her left hand is behind her head. She wears an oversized white button-up shirt, layered gold necklaces, small hoop earrings, and bracelets. She looks directly at the camera with a gentle smile. The lighting is soft, directional studio light from the left, casting gentle shadows on her face and the folds of the shirt. The background is a solid, dark charcoal grey with a subtle texture. Her makeup is natural, with defined lashes and nude lipstick.",,
,,Urban Rebel in Motion,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Urban%20Rebel%20in%20Motion.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a full-body photograph of a man with short dark hair, a beard, and round sunglasses, standing and leaning his right side against a dark wall. He wears a dark blue bomber jacket with a white geometric line pattern over a black crew-neck t-shirt, grey distressed skinny jeans, and black combat boots. His right hand is in his jeans pocket, and his left hand is near his chest. The lighting is dramatic and cool, provided by intersecting, glowing white LED strip lights arranged in geometric patterns on the dark walls and ceiling of a futuristic tunnel, casting distinct shadows on the floor. The background is the dark tunnel interior with the glowing lights.",,
,,Emerald Gaze Elegance,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Emerald%20Gaze%20Elegance.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium close-up portrait of a woman with a shoulder-length, platinum blonde bob haircut and a fair complexion. She is wearing large, white-framed square sunglasses with dark green gradient lenses, which she is lifting with her left hand, revealing her face. She wears a high-neck, white ruffled blouse with long sleeves and a chunky, multi-strand necklace made of large gold links and white pearls. Her pose is confident, with her head tilted slightly back and to the right, and her chin slightly up. The lighting is bright, direct sunlight from the upper right, creating strong, distinct shadows beneath her chin, nose, and the ruffles of her blouse, as well as under her hand. Her makeup is flawless, with defined eyebrows, eye makeup, and a matte pink lipstick. The background is a solid, deep teal wall. The colors are strong and saturated, with high contrast.",,
,,Polished Confidence,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Polished%20Confidence.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a black and white medium shot portrait of the woman, standing in a blurred, tree-lined alleyway. Her right hand is adjusting her cat-eye sunglasses, and her left hand is in her trouser pocket. She wears a dark, textured wool blazer over a black V-neck camisole and dark trousers with a belt. A silver bracelet is on her right wrist. Her dark hair is styled in loose waves, and her makeup is flawless with defined brows and dark lipstick. The lighting is soft, diffused daylight, creating gentle shadows on the right side of her face and body. The colors are monochromatic with strong contrast. The shot captures her from the mid-thigh up, showing a slender figure.",,
,,Hello Yellow,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Hello%20Yellow.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium shot studio portrait of a woman with short, wavy brown hair and round, yellow-tinted sunglasses, standing and looking forward. She is wearing a vibrant yellow pantsuit, consisting of an open blazer over a matching crew-neck t-shirt and high-waisted trousers. Her hands are in her trouser pockets. The lighting is soft, even studio illumination from the front, creating gentle shadows beneath her jacket and chin. The background is a solid, saturated yellow wall that matches her outfit. Her makeup is flawless and natural with defined lips. The overall color palette is dominated by strong, saturated yellows.",,
,,Confidence in every frame,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Confidence%20in%20every%20frame.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a full-body studio photograph of the man, who has dark hair, a beard, and wears yellow-tinted aviator sunglasses. He is seated casually on a large, royal blue bean bag chair, with his left leg extended and his right leg bent. He wears a blue bomber jacket with a gold geometric pattern, blue sweatpants, white socks, and chunky off-white sneakers. His hands are relaxed on his lap. The lighting is soft, diffused studio light from the upper right, casting gentle shadows on the bean bag and floor. The background is a seamless, plain light grey studio wall and floor.",,
,,Velvet Authority,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Velvet%20Authority.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium shot portrait of a woman with a slender body shape, standing and looking directly at the camera with a calm, serious expression. Her body is angled slightly to the left, with her right hand tucked into the pocket of her dark blue jeans and her left arm relaxed at her side. She is wearing a deep burgundy velvet double-breasted blazer with gold buttons over a soft white wrap blouse. Her long, dark, wavy hair falls over her left shoulder, and she wears small gold hoop earrings and a ring on her left hand. Her makeup is natural and flawless, with defined brows and a nude lipstick. The lighting is soft, diffused daylight, casting gentle shadows. The background is a slightly blurred Parisian-style building entrance with a large white door and pale stone walls. The colors are rich but balanced, with the red blazer being the prominent color.",,
,,Emerald Authority,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Emerald%20Authority.webp,"Using the attached photo facial reference as a strict guide, the aspect ratio is 9:16. It is a medium shot portrait of a woman with a slender, hourglass body shape, standing in a modern, sunlit office with large windows overlooking a blurred cityscape. She is wearing an emerald green tailored pantsuit consisting of an open blazer and high-waisted trousers, over a silk beige V-neck top. Her right hand is in her trouser pocket, and her body is angled slightly to the left, looking directly at the camera. She wears layered gold necklaces, small square gold earrings, a gold watch, and a ring. Her long, dark, wavy hair is blown slightly by a breeze. Her makeup is natural and flawless, with defined eyes and a nude lipstick. The lighting is bright, natural daylight from the large windows on the left, casting soft shadows and highlighting the textures of the clothing and the concrete wall in the background. The colors are rich but natural, with the green of the suit being the dominant color.",,
,,Coffee Above the Waves,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Coffee%20Above%20the%20Waves.webp,"Using the attached photo facial reference, a photorealistic medium-full shot of a woman sitting elegantly on a white stone balcony railing during golden hour.

Subject Details:

Pose: Sitting casually but elegantly on the edge of a classic white balustrade, legs crossed or draped down, holding a white ceramic coffee cup and saucer with both hands near the chest.

Face/Makeup: Soft glam makeup, warm tones, defined eyebrows, matte lipstick, soft contouring, serene and confident expression looking directly at the camera.

Hair: Dark brown hair styled in a loose, messy bun with wispy strands blowing gently in the wind framing the face.

Body: Slender, fit body shape.

Clothing: A flowing, white V-neck midi dress with long puffy sleeves, cinched at the waist, soft lightweight fabric (chiffon or silk) that catches the light.

Accessories: A delicate gold necklace with a small butterfly pendant, small hoop earrings.

Environment & Lighting:

Background: A vast, deep blue ocean stretching to the horizon, a sky filled with soft, scattered clouds illuminated by the setting sun.

Lighting: Warm, golden sunset light hitting the subject from the side/back (rim lighting on hair), creating a soft glow on the skin and dress. Soft, natural shadows on the unlit side of the face.

Colors: Palette of warm gold, creamy white, deep ocean blue, and soft peach tones in the sky.

Extra Details: A small, cute brown curly-haired puppy (poodle or maltipoo mix) peeking its head through the white balusters of the railing at the bottom left.

Tech Specs: High definition, cinematic composition, depth of field blurring the distant ocean slightly.

--ar 9:16",,
,,Coffee Above the Waves Men,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Coffee%20Above%20the%20Waves%20Men.webp,"A medium shot portrait of a man, using the attached photo facial reference, sitting on a white stone balustrade of a Mediterranean villa balcony at sunset. He has short dark hair, a beard, and is wearing dark sunglasses, a white unbuttoned linen shirt with rolled sleeves, light beige trousers, and a silver watch. He holds a small white espresso cup in his right hand, looking out towards the sea. His body is lean and fit. A small white Maltese dog sits at his feet. The setting sun casts a warm golden light, creating long, soft shadows. The background features a vast sea with warm orange and purple hues, a coastline with greenery, and the villa's architecture. The camera angle is eye-level, capturing a rich, warm color palette. Aspect ratio 9:16.",,
,,Desert Royalty,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Desert%20Royalty.webp,"A full-body shot of a young woman, using the attached photo facial reference, sitting elegantly on the front fender of a vintage beige Mercedes convertible in a desert landscape. She holds a large falcon with spread wings on her raised right hand, gripping its leather straps. She is wearing a monochromatic outfit featuring a champagne-colored silk button-down shirt tucked into matching high-waisted wide-leg trousers, and brown leather brogue shoes. Her hair is styled in a chic high bun with loose strands framing her face, wearing soft, natural glam makeup with a nude lip. The car is surrounded by blooming purple lavender bushes, with rolling sand dunes visible in the distance under a clear, gradient teal sky. The lighting is warm and golden, typical of late afternoon, creating soft contrasts and highlighting the texture of the silk and the chrome details of the car. The camera angle is low, looking slightly up at the subject. Aspect ratio 9:16.
",,
,,Sophisticated Elegance,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Sophisticated%20Elegance.webp,"A close-up studio portrait of a sophisticated woman, using the attached photo facial reference, posing with her right hand gently resting against her cheek and jawline. She is wearing a wide-brimmed black felt hat and a fitted black turtleneck sweater. On her wrist, she wears a statement diamond cuff bracelet composed of multiple sparkling rows. Her makeup is high-glam and precise, featuring sharp winged black eyeliner, defined eyebrows, flawless matte skin with contouring, and deep matte burgundy lipstick. Her expression is serious and captivating, looking directly at the camera. The lighting is soft, directional studio lighting that highlights her facial features and the sparkle of the jewelry while creating subtle shadows for depth. The background is a solid, deep matte teal or petrol blue color, providing a rich contrast to the monochromatic black outfit. Aspect ratio 9:16.",,
,,Blue Dynasty Swagger,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Blue%20Dynasty%20Swagger.webp,"A full-body outdoor shot of a fashionable woman, Using the attached photo facial reference, standing confidently in front of a bright baby-blue Lamborghini sports car. She is wearing an oversized light blue blazer over a white top, crisp white trousers, and white sneakers with black stripes. She wears dark sunglasses and has long, wavy brown hair. Her stance is powerful, with one hand in her pocket. The setting is a surreal, dreamlike street where the trees are filled with vibrant blue blossoms, and blue petals cover the ground like snow. The lighting is soft, even, and cool-toned, emphasizing the monochromatic blue color palette of the car, jacket, and environment against the white of her outfit. Aspect ratio 9:16.",,
,,Golden Hour Wanderer,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Golden%20Hour%20Wanderer.webp,"A picturesque outdoor portrait of a young woman, Using the attached photo facial reference, standing in the center of a vast, blooming sunflower field. She is wearing a light yellow, floor-length spaghetti-strap maxi dress made of a flowy fabric that perfectly matches the yellow of the flowers, paired with a white wide-brimmed sun hat. Her arms are gently extended to her sides, her hands lightly touching the large sunflower heads surrounding her. Her hair is styled in a soft, elegant updo with loose strands framing her face, and she wears natural, radiant makeup. The lighting is bright and sunny, typical of a summer afternoon, creating vibrant colors and soft, natural shadows. The background features an endless sea of sunflowers under a bright blue sky dotted with fluffy white cumulus clouds. The camera angle is eye-level, capturing the immersion in nature. Aspect ratio 9:16.",,
,,Queen's Gambit,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Queen's%20Gambit.webp,"A medium seated portrait of a sophisticated woman, Using the attached photo facial reference, sitting on a brown leather Chesterfield sofa in a classic study. She is looking thoughtfully to the side, with her left hand lightly touching her jawline and her right hand resting on her leg. She wears a grey blazer, a crisp white shirt, a geometric patterned silk neck scarf, and round metal-rimmed glasses. In the immediate foreground, blurred wooden chess pieces are visible, framing the bottom of the shot to suggest a game in progress. The background features vintage beige patterned wallpaper and olive green velvet curtains. The lighting is soft and warm, evoking an ""old money"" academic aesthetic. Aspect ratio 9:16.",,
,,Pool Hall Rebel,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Pool%20Hall%20Rebel.webp,"A cinematic medium shot of a confident young woman, Using the attached photo facial reference, leaning casually against the wooden rail of a green billiard table. She holds a wooden pool cue upright with both hands in front of her. She is dressed in a crisp white button-down shirt tucked into tailored grey trousers. Her dark hair is pulled back into a low ponytail with loose strands framing her face, and she wears natural but defined makeup with a dark mauve lip. The setting is a moody, dimly lit pool hall with exposed brick walls adorned with vintage framed posters. Overhead industrial pendant lamps cast warm, dramatic pools of light onto the green felt tables and the colorful billiard balls, creating deep shadows and a rich atmosphere. The background is slightly out of focus to emphasize the subject. Aspect ratio 9:16.",,
,,Cinematic Snowstorm Portrait,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Cinematic%20Snowstorm%20Portrait.webp,"A cinematic close-up winter portrait of a stunning young woman, Using the attached photo facial reference, standing amidst a heavy snowfall in a mountainous landscape. She has her left hand, wearing a black glove, raised gently to the brim of her hood, while her right hand grips a black trekking pole. She is bundled up in a deep burgundy winter parka with a thick, brown fur-trimmed hood pulled up. Underneath, she wears a grey ribbed sweater and a beige and black plaid scarf wrapped warmly around her neck. A delicate silver butterfly necklace is visible. Her dark hair is styled in a long side braid, with snowflakes dusting her hair and eyelashes. Her makeup is flawless and matte, featuring rosy cheeks and dusty mauve lipstick. The background is a soft, white blur of snow-capped mountains and falling snow, creating a cold, magical atmosphere. The lighting is soft, cool, and diffused, typical of an overcast winter day. Aspect ratio 9:16.",,
,,Metropolitan Grace,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/Metropolitan%20Grace.webp,"A classic black and white medium shot of an elegant woman, Using the attached photo facial reference, standing beside a vintage car. A curvy body shape (not skinny), She is looking off-camera to her left with a pensive expression, her hands casually in her trouser pockets. She wears a tailored dark blazer over a crisp white button-down shirt with a dark silk necktie, and matching trousers. Her dark hair is styled in a chic low bun. In the immediate foreground, the dark frame of the car's window and roofline is visible, adding depth. The background features a modern building with geometric concrete and glass facade. The lighting is diffused daylight, creating soft shadows and highlighting the textures of her suit and the car's paint. Aspect ratio 9:16.",,
,,London Afternoon Tea,https://raw.githubusercontent.com/Athena-Neferpitou/1awelapp-tsiwrat/main/tsiwrat/London%20Afternoon%20Tea.webp,"A cinematic outdoor portrait of a stylish young woman, Using the attached photo facial reference, sitting at a small round wooden table at a sidewalk café in London. She is holding a white teacup gently near her lips, looking directly at the camera. She wears a classic beige wool trench coat over a cream ribbed knit sweater. Her hair is pulled back into a messy bun, with loose strands illuminated by the sun. On the table in front of her sits a plate with a scone, a saucer with a spoon, and a small brown leather notebook. The background is a quintessential London street scene, featuring a blurred red double-decker bus on the left and a classic red telephone booth on the right, with historic brick architecture in the distance. The lighting is the golden hour of sunset, creating a strong, warm backlight that creates a glowing halo around her hair and casts long shadows on the pavement. The color palette is warm and inviting. Aspect ratio 9:16.
",,
